ID,Name,Age,Gender,Country,Date of Joining,Salary,Department,Performance Score,Active
1,Megan Johnson,54,F,French Polynesia,2024-07-21,63993.31,Marketing,8,False
2,Juan Horn,35,M,Bahamas,2018-10-09,84809.16,Sales,4,True
3,Louis Torres,46,F,Guernsey,2023-04-07,95383.96,HR,9,False
4,Daniel Nguyen,29,M,Mozambique,2016-10-23,94267.23,Engineering,6,True
5,Elizabeth Webb,60,F,Jordan,2018-10-29,111121.2,Engineering,2,False
6,Donald Thompson,62,F,Rwanda,2015-07-17,35183.92,HR,1,False
7,Sabrina Sutton,35,M,Turks and Caicos Islands,2016-09-10,68464.5,Engineering,4,True
8,Tara Diaz,18,F,Lithuania,2016-11-06,107064.84,HR,9,True
9,Melissa Chavez,46,M,Chad,2022-02-04,57719.86,Engineering,3,True
10,David Scott,29,F,Armenia,2017-05-07,105664.33,Finance,5,True
11,Kimberly Nixon,24,F,Saint Helena,2023-01-04,102788.18,Engineering,1,True
12,Karen Rhodes,40,M,Northern Mariana Islands,2019-04-04,34327.09,Sales,6,False
13,Daniel Ross,35,M,Saint Barthelemy,2021-01-08,48241.12,HR,1,True
14,Riley Riley,57,F,Somalia,2024-04-03,85084.09,Marketing,9,False
15,John Byrd,54,F,Jamaica,2023-11-28,31755.48,Marketing,2,True
16,Lori Day,54,M,Liechtenstein,2016-12-26,58236.95,Sales,9,True
17,Ryan Stephens,51,F,Maldives,2021-11-11,49088.46,Marketing,5,True
18,Rhonda Wright,33,M,Cambodia,2017-07-24,92261.41,Finance,6,True
19,Brittany Brooks,57,F,Tonga,2019-09-22,118635.78,Engineering,4,False
20,Christopher Anderson,34,F,Gibraltar,2020-12-31,91680.31,Finance,4,False
21,Ryan Small,52,M,Falkland Islands (Malvinas),2016-01-28,100518.03,Marketing,5,True
22,Joseph Stevenson,52,F,Cote d'Ivoire,2019-09-03,31063.47,Sales,1,True
23,Daniel Henson DDS,54,F,Panama,2019-07-16,104228.85,Finance,4,True
24,Christopher Black,43,M,Serbia,2015-01-29,115835.49,HR,6,False
25,Jeffrey Clark DDS,59,M,Ecuador,2019-08-12,119597.42,Engineering,1,False
26,Maria Nunez,64,M,Cape Verde,2020-02-08,67359.44,Sales,4,False
27,James Combs,19,M,Singapore,2015-12-06,104969.48,Marketing,7,True
28,James Young,52,F,Holy See (Vatican City State),2023-11-19,53055.75,Finance,7,False
29,Samantha Thompson MD,31,F,Marshall Islands,2015-08-25,91637.46,Sales,5,False
30,Adam Neal,62,M,Brazil,2019-05-14,57800.14,Sales,3,True
31,Candice House,52,F,Egypt,2024-07-20,90654.61,Marketing,1,False
32,Jared Cooper,38,F,South Georgia and the South Sandwich Islands,2023-01-17,43677.36,Finance,2,True
33,Albert Davis,37,M,Palau,2015-12-17,98415.52,Engineering,8,True
34,Cindy Zamora,24,F,Saint Helena,2021-07-22,78221.14,Engineering,8,False
35,Summer Brown,30,M,Brunei Darussalam,2015-08-06,110875.54,HR,2,False
36,Brian Flores,30,M,Malta,2024-09-27,117670.47,HR,1,False
37,Brenda Nelson,38,F,Brazil,2019-12-18,67859.4,Marketing,9,True
38,Christine Macdonald,36,M,Slovakia (Slovak Republic),2015-07-03,54880.34,Engineering,8,False
39,James Mora,23,M,Luxembourg,2022-12-19,116120.11,HR,8,True
40,Victoria Smith,62,M,Yemen,2023-12-12,62258.37,Marketing,2,True
41,Stacey Lopez,48,M,Guatemala,2021-08-29,73855.45,Sales,3,False
42,James Hutchinson,64,F,Marshall Islands,2020-08-05,110915.01,Marketing,6,True
43,Jessica Martin,40,M,Bangladesh,2017-12-14,117165.4,Engineering,5,False
44,Melissa Cox,35,F,Israel,2016-02-06,110156.38,Finance,9,True
45,Erika Rogers,32,M,Uruguay,2021-10-27,46100.59,Engineering,7,False
46,Terri Erickson,58,M,Nepal,2016-10-28,113066.36,Marketing,2,True
47,Rebecca Fuentes,59,M,Namibia,2018-02-09,95793.25,Marketing,3,False
48,Jason Friedman,51,F,Japan,2016-01-14,118010.76,Marketing,7,False
49,Sean Lopez,64,M,Cayman Islands,2014-12-31,79228.18,Finance,3,False
50,Derek Richardson,35,M,China,2019-05-21,61321.0,Engineering,2,True
51,Katherine Martin,38,F,Pakistan,2016-09-10,91975.36,Engineering,3,True
52,Keith Oneal,34,F,Turkmenistan,2019-07-21,106436.16,Sales,7,True
53,April Murphy,39,F,Netherlands Antilles,2022-05-10,58074.21,Marketing,5,True
54,Steve Cooper,56,M,New Caledonia,2024-09-05,45215.52,Sales,8,False
